Name,Country,DoB,PlayerNo
Jobi McAnuff,Jamaica,09/11/1981,4585
Garath McCleary,Jamaica,15/05/1987,4586
Jay Tabb,Ireland,21/02/1984,4587
Jake Taylor,Wales,01/12/1991,4588
Jordan Obita,England,08/12/1993,4589
Charlie Losasso,England,11/11/1992,4590
Lawson D'Ath,England,24/12/1992,4591
Adam Le Fondre,England,02/12/1986,4592
Noel Hunt,Ireland,26/12/1982,4593
Nicholas Bignall,England,11/07/1990,4594
Karl Sheppard,Ireland,14/02/1991,4595
Gozie Ugwu,England,22/04/1993,4596
Brett Williams,England,01/12/1987,4597
Dominic Samuel,England,11/04/1994,4598
Paulo Gazzaniga,Argentina,27,4600
Artur Boruc,Poland,38,4601
Cody Cropper,United States,16/02/1993,4602
Aaron Martin,England,29/09/1989,4603
Nathaniel Clyne,England,27,4604
Maya Yoshida,Japan,30,4605
José Fonte,Portugal,22/12/1983,4606
Vegard Forren,Norway,16/02/1988,4607
Luke Shaw,England,23,4608
Danny Seaborne,England,05/03/1987,4609
Jos Hooiveld,Netherlands,22/04/1983,4610
Ben Reeves,Northern Ireland,19/11/1991,4611
Jack Stephens,England,24,4612
Ryan Dickson,England,14/12/1986,4613
Dean Hammond,England,07/03/1983,4614
Morgan Schneiderlin,France,29,4615
Gastón Ramírez,Uruguay,02/12/1990,4616
James Ward-Prowse,England,24,4617
Adam Lallana,England,30,4618
Guly do Prado,Brazil,31/12/1981,4619
Calum Chambers,England,24,4620
Lloyd Isgrove,Wales,12/01/1993,4621
Steve De Ridder,Belgium,25/02/1987,4622
Corby Moore,England,21/11/1993,4623
Dominic Gape,England,09/09/1994,4624
Andy Robinson,England,16/10/1992,4625
Billy Sharp,England,05/02/1986,4626
Rickie Lambert,England,16/02/1982,4627
Tadanari Lee,Japan,19/12/1985,4628
Emmanuel Mayuka,Zambia,21/11/1990,4629
Sam Hoskins,England,04/02/1993,4630
Jake Sinclair,England,29/11/1994,4631
Jack Butland,England,10/03/1993,4634
Stefan Galinski,Poland,04/04/1994,4635
Geoff Cameron,United States,11/07/1985,4636
Brek Shea,United States,28/02/1990,4637
Maurice Edu,United States,18/04/1986,4638
Jamie Ness,Scotland,02/03/1991,4639
Jordan Pickford,England,24,4640
Liam Marrs,England,26/11/1992,4642
David Ferguson,England,07/06/1994,4643
Scott Harrison,England,03/09/1993,4644
Alfred N'Diaye,Senegal,06/03/1990,4645
Jordan Laidler,England,01/07/1995,4646
Adam Mitchell,England,18/10/1993,4647
Mikael Mandron,France,11/10/1994,4648
Chico Flores,Spain,06/03/1987,4651
Dwight Tiendalli,Netherlands,21/10/1985,4652
Scott Tancock,Wales,29/12/1993,4653
Pablo Hernández,Spain,11/04/1985,4654
Roland Lamah,Belgium,31/12/1987,4655
Ki Sung-yueng,South Korea,30,4656
Jonathan de Guzmán,Netherlands,13/09/1987,4657
Henry Jones,Wales,18/09/1993,4658
Michu,Spain,21/03/1986,4659
Etey Shechter,Israel,22/02/1987,4660
James Loveridge,Wales,16/05/1994,4661
Hugo Lloris,France,32,4664
Jordan Archer,Scotland,12/04/1993,4665
Jan Vertonghen,Belgium,31,4666
Lewis Holtby,Germany,18/09/1990,4667
Shaquile Coulthirst,England,02/11/1994,4668
Goran Popov,Macedonia,02/10/1984,4671
Donervon Daniels,Montserrat,24/11/1993,4672
Claudio Yacob,Argentina,18/07/1987,4673
Isaiah Brown,England,07/01/1997,4674
Markus Rosenberg,Sweden,27/09/1982,4675
Adil Nabi,England,28/02/1994,4676
Vit Nemrava,Czech Republic,09/01/1996,4678
Raphael Spiegel,Switzerland,19/12/1992,4679
Guy Demel,Cote D'Ivoire,13/06/1981,4680
Dan Potts,England,13/04/1994,4681
Leo Chambers,England,05/08/1995,4682
Callum Driver,England,23/10/1992,4683
Declan Hunt,England,TBD,4684
George Moncur,England,18/08/1993,4685
Sebastian Lletget,United States,03/09/1992,4686
Blair Turgott,England,22/05/1994,4687
Matthias Fanimo,England,28/01/1994,4688
Modibo Maiga,Mali,03/09/1987,4690
Wellington Paulista,Brazil,22/04/1984,4691
Elliot Lee,England,16/12/1994,4692
Sean Maguire,Ireland,01/05/1994,4693
Robert Hall,England,20/10/1993,4694
Joel Robles,Spain,17/06/1990,4696
Iván Ramis,Spain,25/10/1984,4697
Eduard Campabadal,Spain,26/01/1993,4698
Roger Espinoza,Honduras,25/10/1986,4699
Fraser Fyvie,Scotland,27/03/1993,4700
Arouna Koné,Cote D'Ivoire,11/11/1983,4701
Filip Orsula,Slovakia,25/02/1993,4702
Archange Nkumu,England,05/11/1993,4703
Mickaël Tavares,Senegal,25/10/1982,4704
Nuri Sahin,Turkey,05/09/1988,4705
Kevin Mbabu,Switzerland,19/04/1995,4706
Kei Kamara,Sierra Leone,01/09/1984,4707
Bradley Simmonds,England,17/09/1994,4708
Jamie Proctor,England,25/03/1992,4709
Nicky Maynard,England,11/12/1986,4710
Sam Baldock,England,15/03/1989,4711
Emiliano Viviano,Italy,01/12/1985,4712
Isaac Hayden,England,23,4713
Mesut Özil,Germany,30,4714
Kristoffer Olsson,Sweden,30/06/1995,4715
Gedion Zelalem,United States,26/01/1997,4716
Alex Iwobi,Nigeria,22,4717
Yaya Sanogo,France,27/01/1993,4718
Jores Okore,Denmark,11/08/1992,4719
Antonio Luna,Spain,17/03/1991,4720
Leandro Bacuna,Curacao,21/08/1991,4721
Aleksandar Tonev,Bulgaria,03/02/1990,4722
Nicklas Helenius,Denmark,08/05/1991,4723
Libor Kozák,Czech Republic,30/05/1989,4724
Callum Robinson,Ireland,02/02/1995,4725
David Marshall,Scotland,05/03/1985,4726
Simon Moore,England,19/05/1990,4727
Ben Turner,England,21/08/1988,4728
John Brayford,England,29/12/1987,4729
Kévin Théophile-Catherine,France,28/10/1989,4730
Maximiliano Amondarain,Uruguay,22/01/1993,4731
Declan John,Wales,30/06/1995,4732
Gary Medel,Chile,03/08/1987,4733
Kim Bo-Kyung,South Korea,06/10/1989,4734
Craig Noone,England,17/11/1987,4735
Aron Gunnarsson,Iceland,29,4736
Don Cowie,Scotland,15/02/1983,4737
Filip Kiss,Slovakia,13/10/1990,4738
Andreas Cornelius,Denmark,16/03/1993,4739
Rudy Gestede,Benin,10/10/1988,4740
Joe Mason,Ireland,27,4741
Etien Velikonja,Slovenia,26/12/1988,4742
Rhys Healey,England,24,4743
Charlie Colkett,England,04/09/1996,4746
Marco van Ginkel,Netherlands,01/12/1992,4747
Willian,Brazil,30,4748
Lewis Baker,England,25/04/1995,4749
André Schürrle,Germany,28,4750
Samuel Eto'o,Cameroon,10/03/1981,4751
Neil Alexander,Scotland,10/03/1978,4752
Darcy Blake,Wales,13/12/1988,4753
Jonathan Parr,Norway,21/10/1988,4754
Dean Moxey,England,14/01/1986,4755
Jack Hunt,England,06/12/1990,4756
Matthew Parsons,England,25/12/1991,4757
Alex Wynter,England,15/09/1993,4758
Quade Taylor,England,11/12/1993,4759
Ryan Inniss,England,05/06/1995,4760
Jerome Binnom-Williams,England,07/03/1995,4761
José Campaña,Spain,31/05/1993,4762
Yannick Bolasie,The Democratic Republic Of Congo,24/05/1989,4763
Owen Garvan,Ireland,29/01/1988,4764
Stuart O'Keefe,England,27,4765
Mile Jedinak,Australia,03/08/1984,4766
Jonathan Williams,Wales,09/10/1993,4767
Kyle De Silva,England,29/11/1993,4768
Hiram Boateng,England,08/01/1996,4769
Osman Sow,Sweden,22/04/1990,4770
Dwight Gayle,England,17/10/1990,4771
Glenn Murray,England,35,4772
Ibra Sekajja,Uganda,31/10/1992,4773
Reise Allassani,England,03/01/1996,4774
Hallam Hope,England,17/03/1994,4776
Gerard Deulofeu,Spain,24,4777
Maarten Stekelenburg,Netherlands,36,4779
Elsad Zverotic,Montenegro,31/10/1986,4780
Fernando Amorebieta,Venezuela,29/03/1985,4781
Ange-Freddy Plumain,France,02/03/1995,4782
Derek Boateng,Ghana,02/05/1983,4783
Mesca,Guinea-Bissau,06/05/1993,4784
Allan McGregor,Scotland,31/01/1982,4785
Eldin Jakupovic,Switzerland,34,4786
Joe Cracknell,England,28/09/1994,4787
George Boyd,Scotland,02/10/1985,4788
Gedo,Egypt,30/10/1984,4789
Dougie Wilson,Northern Ireland,03/03/1994,4790
Yannick Sagbo,Cote D'Ivoire,12/04/1988,4791
Aaron McLean,England,25/05/1983,4792
Calaum Jahraldo-Martin,Antigua And Barbuda,27/04/1993,4793
Nick Proschwitz,Germany,28/11/1986,4794
Mamadou Sakho,France,28,4796
Aly Cissokho,France,15/09/1987,4797
Tiago Ilori,Portugal,26/02/1993,4798
Luis Alberto,Spain,28/09/1992,4799
Iago Aspas,Spain,01/08/1987,4800
Martín Demichelis,Argentina,20/12/1980,4802
Jesús Navas,Spain,21/11/1985,4803
Fernandinho,Brazil,33,4804
Álvaro Negredo,Spain,20/08/1985,4805
Stevan Jovetic,Montenegro,02/11/1989,4806
Guillermo Varela,Uruguay,24/03/1993,4809
Leroy Fer,Netherlands,05/01/1990,4810
Ricky van Wolfswinkel,Netherlands,27/01/1989,4811
Gary Hooper,England,26/01/1988,4812
Dejan Lovren,Croatia,29,4813
Jason McCarthy,England,07/11/1995,4814
Matt Targett,England,23,4815
Victor Wanyama,Kenya,27,4816
Omar Rowe,England,30/10/1994,4817
Harrison Reed,England,27/01/1995,4818
Pablo Daniel Osvaldo,Italy,12/01/1986,4819
James Campbell,Scotland,01/11/1993,4820
Erik Pieters,Netherlands,07/08/1988,4821
Marc Muniesa,Spain,27/03/1992,4822
Marko Arnautovic,Austria,29,4823
Ondrej Celustka,Czech Republic,18/06/1989,4825
Modibo Diakité,France,02/03/1987,4826
Valentin Roberge,France,09/06/1987,4827
Cabral,Cape Verde,22/10/1988,4828
El-Hadji Ba,France,05/03/1993,4829
Emanuele Giaccherini,Italy,05/05/1985,4830
Charalampos Mavrias,Greece,21/02/1994,4831
David Moberg-Karlsson,Sweden,20/03/1994,4832
Gregor Zabret,Slovenia,18/08/1995,4834
Jordi Amat,Spain,21/03/1992,4835
José Cañas,Spain,27/05/1987,4836
Alejandro Pozuelo,Spain,20/09/1991,4837
Wilfried Bony,Cote D'Ivoire,10/12/1988,4838
Álvaro Vázquez,Spain,27/04/1991,4839
Vlad Chiriches,Romania,14/11/1989,4840
Paulinho,Brazil,25/07/1988,4841
Erik Lamela,Argentina,26,4842
Etienne Capoue,France,30,4843
Nacer Chadli,Belgium,02/08/1989,4844
Christian Eriksen,Denmark,26,4845
Roberto Soldado,Spain,27/05/1985,4846
Nabil Bentaleb,Algeria,24/11/1994,4847
Diego Lugano,Uruguay,02/11/1980,4848
Morgan Amalfitano,France,20/03/1985,4849
Morgan Ferrier,England,15/11/1994,4850
Matej Vydra,Czech Republic,26,4851
Adrián,Spain,32,4852
Razvan Rat,Romania,26/05/1981,4853
Pelly-Ruddock Mpanzu,England,22/03/1994,4854
Adedeji Oshilaja,England,16/07/1993,4855
Kadeem Harris,England,25,4856
Kevin McNaughton,Scotland,28/08/1982,4857
Craig Conway,Scotland,02/05/1985,4858
Christian Atsu,Ghana,27,4859
Florian Marange,France,03/03/1986,4860
Kwesi Appiah,Ghana,12/08/1990,4861
Ross Fitzsimons,England,28/05/1994,4862
Matty Fryatt,England,05/03/1986,4863
Conor Townsend,England,04/03/1993,4864
Jamar Loza,Jamaica,10/05/1994,4865
Jordan Keane,Ireland,19/09/1993,4866
Kevin Gomez,Spain,11/01/1994,4867
Ryan Hedges,Wales,08/07/1995,4868
Kenneth Vermeer,Netherlands,10/01/1986,4869
Jasper Cillessen,Netherlands,22/04/1989,4870
Mickey van der Hart,Netherlands,13/06/1994,4871
Peter Leeuwenburgh,Netherlands,23/03/1994,4872
Ricardo van Rhijn,Netherlands,13/06/1991,4873
Joël Veltman,Netherlands,15/01/1992,4874
Niklas Moisander,Finland,29/09/1985,4875
Nicolai Boilesen,Denmark,16/02/1992,4876
Mike van der Hoorn,Netherlands,15/10/1992,4877
Jairo Riedewald,Netherlands,22,4878
Mitchell Dijks,Netherlands,09/02/1993,4879
Kenny Tete,Netherlands,09/10/1995,4880
Stefano Denswil,Netherlands,07/05/1993,4881
Riechedly Bazoer,Netherlands,12/10/1996,4882
Ruben Ligeon,Netherlands,24/05/1992,4883
Lerin Duarte,Netherlands,11/08/1990,4884
Siem de Jong,Netherlands,28/01/1989,4885
Davy Klaassen,Netherlands,21/02/1993,4886
Lucas Andersen,Denmark,13/09/1994,4887
Daley Blind,Netherlands,09/03/1990,4888
Lasse Schöne,Denmark,27/05/1986,4889
Lesly de Sa,Netherlands,02/04/1993,4890
Thulani Serero,South Africa,11/04/1990,4891
Stanislav Lobotka,Slovakia,25/11/1994,4892
Fabian Sporkslede,Netherlands,03/08/1993,4893
Jody Lukoki,The Democratic Republic Of Congo,12/11/1992,4894
Sheraldo Becker,Netherlands,09/02/1995,4895
Viktor Fischer,Denmark,09/06/1994,4896
Kolbeinn Sigthorsson,Iceland,14/03/1990,4897
Bojan,Spain,28/08/1990,4898
Ricardo Kishna,Netherlands,04/01/1995,4899
Tobias Sana,Sweden,11/07/1989,4900
Geoffrey Castillion,Netherlands,25/05/1991,4901
Kim Källström,Sweden,24/08/1982,4908
Roberto Jiménez,Spain,10/02/1986,4909
Daniel Aranzubia,Spain,18/09/1979,4910
Thibaut Courtois,Belgium,11/05/1992,4911
Yassine Bounou,Morocco,05/04/1991,4912
David Gil,Spain,11/01/1994,4913
Diego Godín,Uruguay,16/02/1986,4914
Filipe Luís,Brazil,09/08/1985,4915
Toby Alderweireld,Belgium,29,4916
Silvio,Portugal,28/09/1987,4917
Javier Manquillo,Spain,24,4918
Juanfran,Spain,09/01/1985,4919
Miranda,Brazil,07/09/1984,4920
José Giménez,Uruguay,20/01/1995,4921
Lucas Hernández,France,14/02/1996,4922
Óliver Torres,Spain,10/11/1994,4923
Rubén Pérez,Spain,26/04/1989,4924
Mario Suárez,Spain,24/02/1987,4925
Koke,Spain,08/01/1992,4926
Raúl García,Spain,11/07/1986,4927
Arda Turan,Turkey,30/01/1987,4928
Gabi,Spain,10/07/1983,4929
Josuha Guilavogui,France,19/09/1990,4930
Saúl Ñíguez,Spain,21/11/1994,4931
Diego,Brazil,28/02/1985,4932
Cristian Rodríguez,Uruguay,30/09/1985,4933
José Sosa,Argentina,19/06/1985,4934
Carlos Ramos,Spain,31/08/1994,4935
Thomas Partey,Ghana,13/06/1993,4936
Álex Díaz,Spain,26/02/1993,4937
Pedro Martín,Spain,16/01/1992,4938
Adrián López,Spain,08/01/1988,4939
David Villa,Spain,03/12/1981,4940
Diego Costa,Spain,07/10/1988,4941
Leo Baptistao,Brazil,26/08/1992,4942
Héctor Hernández,Spain,14/09/1995,4943
Samu Sáiz,Spain,22/01/1991,4944
Momar Ndoye,Senegal,10/03/1992,4945
Víctor Valdés,Spain,14/01/1982,4951
Pinto,Spain,08/11/1975,4952
Jordi Masip,Spain,03/01/1989,4953
Oier Olazábal,Spain,14/09/1989,4954
Martín Montoya,Spain,27,4955
Carles Puyol,Spain,13/04/1978,4956
Marc Bartra,Spain,15/01/1991,4957
Jordi Alba,Spain,21/03/1989,4958
Adriano,Brazil,26/10/1984,4959
Dani Alves,Brazil,06/05/1983,4960
Sergi Gómez,Spain,28/03/1992,4961
Bagnack,Cameroon,07/06/1995,4962
Sergio Busquets,Spain,16/07/1988,4963
Xavi,Spain,25/01/1980,4964
Andrés Iniesta,Spain,11/05/1984,4965
Jonathan dos Santos,Mexico,26/04/1990,4966
Rafinha,Brazil,12/02/1993,4967
Ibrahim Afellay,Netherlands,02/04/1986,4968
Sergi Roberto,Spain,07/02/1992,4969
Sergi Samper,Spain,20/01/1995,4970
Patric,Spain,17/04/1993,4971
Pedro,Spain,31,4972
Alexis Sánchez,Chile,30,4973
Lionel Messi,Argentina,24/06/1987,4974
Neymar,Brazil,05/02/1992,4975
Cristian Tello,Spain,11/08/1991,4976
Isaac Cuenca,Spain,27/04/1991,4977
Dani Nieto,Spain,04/05/1991,4978
Adama Traoré,Spain,23,4979
Jean Marie Dongou,Cameroon,20/04/1995,4980
Bernd Leno,Germany,26,4985
Andrés Palop,Spain,22/10/1973,4986
Niklas Lomb,Germany,28/07/1993,4987
Konstantinos Stafylidis,Greece,02/12/1993,4988
Philipp Wollscheid,Germany,06/03/1989,4989
Emir Spahic,Bosnia And Herzegovina,18/08/1980,4990
Roberto Hilbert,Germany,16/10/1984,4991
Sebastian Boenisch,Poland,01/02/1987,4992
Andrés Guardado,Mexico,28/09/1986,4993
Ömer Toprak,Turkey,21/07/1989,4994
Giulio Donati,Italy,05/02/1990,4995
Malcolm Cacutalua,Germany,15/11/1994,4996
Stefan Reinartz,Germany,01/01/1989,4997
Simon Rolfes,Germany,21/01/1982,4998
Son Heung-Min,South Korea,26,4999
Lars Bender,Germany,27/04/1989,5000
Emre Can,Germany,12/01/1994,5001
Jens Hegeler,Germany,22/01/1988,5002
Levin Öztunali,Germany,15/03/1996,5003
Sidney Sam,Germany,31/01/1988,5004
Julian Brandt,Germany,02/05/1996,5005
Robbie Kruse,Australia,05/10/1988,5006
Gonzalo Castro,Germany,11/06/1987,5007
Jonas Meffert,Germany,04/09/1994,5008
Alexander Mühling,Germany,05/09/1992,5009
Maximilian Wagener,Germany,03/01/1995,5010
Eren Derdiyok,Switzerland,12/06/1988,5011
Stefan Kießling,Germany,25/01/1984,5012
Seung-Woo Ryu,South Korea,17/12/1993,5013
Artur Moraes,Brazil,25/01/1981,5038
Bruno Varela,Portugal,04/11/1994,5039
Paulo Lopes,Portugal,29/06/1978,5040
Jan Oblak,Slovenia,07/01/1993,5041
Stefan Mitrovic,Serbia,22/05/1990,5042
Lisandro López,Argentina,01/09/1989,5043
Roderick Miranda,Portugal,30/03/1991,5044
Steven Vitória,Canada,11/01/1987,5045
Luisão,Brazil,13/02/1981,5046
Maxi Pereira,Uruguay,08/06/1984,5047
Guilherme Siqueira,Brazil,28/04/1986,5048
Ezequiel Garay,Argentina,10/10/1986,5049
Sidnei,Brazil,23/08/1989,5050
João Cancelo,Portugal,27/05/1994,5051
Jardel,Brazil,29/03/1986,5052
Jorge Rojas,Paraguay,07/01/1993,5053
Diego Lopes,Brazil,03/05/1994,5054
Lubomir Fejsa,Serbia,14/08/1988,5055
Rúben Amorim,Portugal,27/01/1985,5056
Filip Djuricic,Serbia,30/01/1992,5057
Nicolás Gaitán,Argentina,23/02/1988,5058
Carlos Martins,Portugal,29/04/1982,5059
Jonathan Urretaviscaya,Uruguay,19/03/1990,5060
André Gomes,Portugal,25,5061
André Almeida,Portugal,10/09/1990,5062
Enzo Pérez,Argentina,22/02/1986,5063
Hélder Costa,Portugal,25,5064
Rúben Pinto,Portugal,24/04/1992,5065
Victor Lindelöf,Sweden,24,5066
Bernardo Silva,Portugal,24,5067
Óscar Cardozo,Paraguay,20/05/1983,5068
Miralem Sulejmani,Serbia,05/12/1988,5069
Rogelio Funes Mori,Argentina,05/03/1991,5070
Lima,Brazil,11/08/1983,5071
Ola John,Netherlands,19/05/1992,5072
Yannick Djaló,Portugal,05/05/1986,5073
Nélson Oliveira,Portugal,08/08/1991,5074
Eduardo Salvio,Argentina,13/07/1990,5075
Pizzi,Portugal,06/10/1989,5076
Franco Jara,Argentina,15/07/1988,5077
Lazar Markovic,Serbia,24,5078
Ivan Cavaleiro,Portugal,25,5079
Djaniny,Cape Verde,21/03/1991,5080
Roman Weidenfeller,Germany,06/08/1980,5084
Mitchell Langerak,Australia,22/08/1988,5085
Zlatan Alomerovic,Germany,15/06/1991,5086
Hendrik Bonmann,Germany,22/01/1994,5087
Manuel Friedrich,Germany,13/09/1979,5088
Marc Hornschuh,Germany,02/03/1991,5089
Neven Subotic,Serbia,10/12/1988,5090
Mats Hummels,Germany,16/12/1988,5091
Marian Sarr,Germany,30/01/1995,5092
Sokratis,Greece,30,5093
Lukasz Piszczek,Poland,03/06/1985,5094
Marcel Schmelzer,Germany,22/01/1988,5095
Jannik Bandowski,Germany,30/03/1994,5096
Erik Durm,Germany,26,5097
Sebastian Kehl,Germany,13/02/1980,5098
Sven Bender,Germany,27/04/1989,5099
Jonas Hofmann,Germany,14/07/1992,5100
Ilkay Gündogan,Germany,28,5101
Henrikh Mkhitaryan,Armenia,30,5102
Marco Reus,Germany,31/05/1989,5103
Milos Jojic,Serbia,19/03/1992,5104
Jakub Blaszczykowski,Poland,14/12/1985,5105
Kevin Großkreutz,Germany,19/07/1988,5106
Oliver Kirch,Germany,21/08/1982,5107
Mustafa Amini,Australia,20/04/1993,5108
Robert Lewandowski,Poland,21/08/1988,5109
Pierre-Emerick Aubameyang,Gabon,29,5110
Tammo Harder,Germany,04/01/1994,5111
Julian Schieber,Germany,13/02/1989,5112
Marvin Ducksch,Germany,07/03/1994,5113
Lukasz Zaluska,Poland,16/06/1982,5134
Leonardo Fasan,Italy,04/01/1994,5135
Michael Miller,Scotland,31/12/1994,5136
Adam Matthews,Wales,13/01/1992,5137
Emilio Izaguirre,Honduras,10/05/1986,5138
Efe Ambrose,Nigeria,18/10/1988,5139
Virgil van Dijk,Netherlands,27,5140
Charlie Mulgrew,Scotland,06/03/1986,5141
Mikael Lustig,Sweden,13/12/1986,5142
Eoghan O'Connell,Ireland,13/08/1995,5143
Stuart Findlay,Scotland,14/09/1995,5144
Darnell Fisher,England,04/04/1994,5145
Joe Chalmers,Scotland,03/01/1994,5146
Marcus Fraser,Scotland,23/06/1994,5147
Lewis Toshney,Scotland,26/04/1992,5148
Calum Waters,Scotland,10/03/1996,5149
Nir Bitton,Israel,30/10/1991,5150
Scott Brown,Scotland,25/06/1985,5151
Kris Commons,Scotland,30/08/1983,5152
Tomas Rogic,Australia,16/12/1992,5153
Stefan Johansen,Norway,28,5154
John Herron,Scotland,01/02/1994,5155
Beram Kayal,Israel,30,5156
Jackson Irvine,Australia,07/03/1993,5157
Bahrudin Atajic,Bosnia And Herzegovina,16/11/1993,5158
Lewis Kidd,Scotland,30/01/1995,5159
Callum McGregor,Scotland,14/06/1993,5160
Dylan McGeouch,Scotland,15/01/1993,5161
Paul George,Scotland,27/01/1994,5162
Liam Henderson,Scotland,25/04/1996,5163
Filip Twardzik,Czech Republic,10/02/1993,5164
Patrik Twardzik,Czech Republic,10/02/1993,5165
Derk Boerrigter,Netherlands,16/10/1986,5166
Amido Baldé,Guinea-Bissau,16/05/1991,5167
Holmbert Fridjonsson,Iceland,19/04/1993,5168
Teemu Pukki,Finland,29/03/1990,5169
Tony Watt,Scotland,29/12/1993,5170
Denny Johnstone,Scotland,09/01/1995,5171
James Forrest,Scotland,07/07/1991,5172
Cristián Cuevas,Chile,02/04/1995,5174
Kurt Zouma,France,24,5175
Wallace Oliveira,Brazil,01/05/1994,5176
Kenneth Omeruo,Nigeria,17/10/1993,5177
Mohamed Salah,Egypt,26,5178
Ruben Loftus-Cheek,England,23,5179
John Swift,England,23/06/1995,5180
Stipe Perica,Croatia,07/07/1995,5181
Vyacheslav Isupov,Russia,16/01/1993,5183
Sergey Chepchugov,Russia,15/07/1985,5184
Igor Akinfeev,Russia,08/04/1986,5185
Ilya Pomazun,Russia,16/08/1996,5186
Artur Nigmatullin,Russia,17/05/1991,5187
Sergey Revyakin,Russia,02/04/1995,5188
Mario Fernandes,Russia,19/09/1990,5189
Sergei Ignashevich,Russia,14/07/1979,5190
Viktor Vasin,Russia,06/10/1988,5191
Aleksey Berezutski,Russia,20/06/1982,5192
Kirill Nababkin,Russia,08/09/1986,5193
Vasili Berezutski,Russia,20/06/1982,5194
Vyacheslav Karavaev,Russia,20/05/1995,5195
Georgy Schennikov,Russia,27/04/1991,5196
Pontus Wernbloom,Sweden,25/06/1986,5197
Steven Zuber,Switzerland,17/08/1991,5198
Alan Dzagoev,Russia,17/06/1990,5199
Dmitri Efremov,Russia,01/04/1995,5200
Aleksandrs Cauna,Latvia,19/01/1988,5201
Rasmus Elm,Sweden,17/03/1988,5202
Georgi Milanov,Bulgaria,19/02/1992,5203
Elvir Rahimic,Bosnia And Herzegovina,04/04/1976,5204
Ravil Netfullin,Russia,03/03/1993,5205
Armen Ambartsumyan,Armenia,11/04/1994,5206
Vitinho,Brazil,09/10/1993,5207
Ahmed Musa,Nigeria,14/10/1992,5208
Sekou Oliseh,Liberia,05/06/1990,5209
Konstantin Bazelyuk,Russia,12/04/1993,5210
Seydou Doumbia,Cote D'Ivoire,31/12/1987,5211
Tomas Necid,Czech Republic,13/08/1989,5212
Yann Sommer,Switzerland,17/12/1988,5214
Germano Vailati,Switzerland,30/08/1980,5215
Pascal Albrecht,Switzerland,29/04/1995,5216
Mirko Salvi,Switzerland,14/02/1994,5217
Arlind Ajeti,Albania,25/09/1993,5218
Ivan Ivanov,Bulgaria,25/02/1988,5219
Fabian Schär,Switzerland,27,5220
Behrang Safari,Sweden,09/02/1985,5221
Kay Voser,Switzerland,04/01/1987,5222
Marek Suchy,Czech Republic,29/03/1988,5223
Gastón Sauro,Argentina,23/02/1990,5224
Naser Aliji,Albania,27/12/1993,5225
Taulant Xhaka,Albania,28/03/1991,5226
Fabian Ritter,Switzerland,25/09/1991,5227
Simon Dunki,Switzerland,08/08/1994,5228
Simon Grether,Switzerland,20/05/1992,5229
Pascal Schürpf,Switzerland,15/07/1989,5230
David Degen,Switzerland,15/02/1983,5231
Geoffroy Serey Dié,Cote D'Ivoire,07/11/1984,5232
Matías Delgado,Argentina,15/12/1982,5233
Fabian Frei,Switzerland,08/01/1989,5234
Marcelo Díaz,Chile,30/12/1986,5235
Darko Jevtic,Switzerland,08/02/1993,5236
Veljko Simic,Serbia,17/02/1995,5237
Musa Araz,Switzerland,17/01/1994,5238
Mohamed Elneny,Egypt,26,5239
Davide Callà,Switzerland,06/10/1984,5240
Robin Kamber,Switzerland,15/02/1996,5241
Marco Streller,Switzerland,18/06/1981,5242
Endogan Adili,Switzerland,03/08/1994,5243
Pak Kwang-Ryong,North Korea,27/09/1992,5244
Giovanni Sio,Cote D'Ivoire,31/03/1989,5245
Admir Seferagic,Bosnia And Herzegovina,27/10/1994,5246
Breel Embolo,Switzerland,14/02/1997,5247
Albian Ajeti,Switzerland,26/02/1997,5248
Manuel Neuer,Germany,27/03/1986,5252
Tom Starke,Germany,18/03/1981,5253
Leopold Zingerle,Germany,10/04/1994,5254
Lukas Raeder,Germany,30/12/1993,5255
Raif Husic,Germany,05/02/1996,5256
Dante,Brazil,18/10/1983,5257
Rafinha,Brazil,07/09/1985,5258
Diego Contento,Germany,01/05/1990,5259
David Alaba,Austria,24/06/1992,5260
Holger Badstuber,Germany,13/03/1989,5261
Benno Schmitz,Germany,17/11/1994,5262
Ylli Sallahi,Austria,06/04/1994,5263
Thiago Alcántara,Spain,11/04/1991,5264
Franck Ribéry,France,07/04/1983,5265
Javi Martínez,Spain,02/09/1988,5266
Xherdan Shaqiri,Switzerland,27,5267
Mario Götze,Germany,03/06/1992,5268
Philipp Lahm,Germany,11/11/1983,5269
Mitchell Weiser,Germany,21/04/1994,5270
Bastian Schweinsteiger,Germany,01/08/1984,5271
Pierre-Emile Højbjerg,Denmark,23,5272
Alessandro Schöpf,Austria,07/02/1994,5273
Julian Green,United States,06/06/1995,5274
Toni Kroos,Germany,04/01/1990,5275
Mario Mandzukic,Croatia,21/05/1986,5276
Thomas Müller,Germany,13/09/1989,5277
Patrick Weihrauch,Germany,03/03/1994,5278
Johan Wiland,Sweden,24/01/1981,5302
Jakob Busk Jensen,Denmark,12/09/1993,5303
Kim Christensen,Denmark,16/07/1979,5304
Pierre Bengtsson,Sweden,12/04/1988,5305
Kris Stadsgaard,Denmark,01/08/1985,5306
Georg Margreitter,Austria,07/11/1988,5307
Christoffer Remmer,Denmark,16/01/1993,5308
Mads Aaquist,Denmark,31/12/1994,5309
Lasse Lindbjerg,Denmark,15/04/1992,5310
